Model,Data Stage,Item ID,Original Item ID,Inventory,Run,Response Class,Completion Status,Reasoning Source,Has Figure,Number of Figures,Confidence Raw,Confidence Normalized,AC,RC,Rep,Rep-LM,AD,CB,SRF,SRF-sub,CI,AT,CQ,EVAL,ML
Claude Opus 4.6,prompted self-review probe,FCI-14,,FCI,1,class_2,completed,visible output,true,1,8,0.8,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,CI-3,AT-MAJ,CQ-3,EVAL-0,ML-0
Claude Opus 4.6,prompted self-review probe,FCI-14,,FCI,2,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,CI-1,AT-VIS,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-14,,FCI,3,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,CI-1,AT-MAJ,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-14,,FCI,4,class_2,completed,visible output,true,1,8,0.8,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,CI-1,AT-MAJ,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-14,,FCI,5,class_2,completed,visible output,true,1,7,0.7,AC-1,RC-2,Rep-3,1,AD-3,CB-4,SRF-2,V,CI-3,AT-MAJ,CQ-3,EVAL-0,ML-0
Claude Opus 4.6,prompted self-review probe,FCI-20,,FCI,1,class_3,completed,visible output,true,1,7,0.7,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,CI-3,AT-MAJ,CQ-3,EVAL-0,ML-0
Claude Opus 4.6,prompted self-review probe,FCI-20,,FCI,2,class_3,completed,visible output,true,1,6,0.6,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,CI-1,AT-VIS,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-20,,FCI,3,class_3,completed,visible output,true,1,6,0.6,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,CI-1,AT-VIS,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-20,,FCI,4,class_1,completed,visible output,true,1,7,0.7,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,CI-3,AT-MAJ,CQ-3,EVAL-0,ML-0
Claude Opus 4.6,prompted self-review probe,FCI-20,,FCI,5,class_3,completed,visible output,true,1,6,0.6,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,CI-1,AT-VIS,CQ-3,EVAL-1,ML-2
Claude Opus 4.6,prompted self-review probe,FCI-26,,FCI,1,class_2,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,CI-1,AT-ASM,CQ-1,EVAL-1,ML-3
Claude Opus 4.6,prompted self-review probe,FCI-26,,FCI,2,class_2,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,CI-1,AT-ASM,CQ-1,EVAL-1,ML-3
Claude Opus 4.6,prompted self-review probe,FCI-26,,FCI,3,class_2,completed,visible output,false,0,8,0.8,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,CI-1,AT-ASM,CQ-1,EVAL-1,ML-3
