Model,Data Stage,Item ID,Original Item ID,Inventory,Run,Response Class,Completion Status,Reasoning Source,Has Figure,Number of Figures,Confidence Raw,Confidence Normalized,AC,RC,Rep,Rep-LM,AD,CB,SRF,SRF-sub,CI,AT,CQ,EVAL,ML
Claude Opus 4.6,isomorphic variant,V-009,FCI-02,FCI,1,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-009,FCI-02,FCI,2,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-009,FCI-02,FCI,3,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-009,FCI-02,FCI,4,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-009,FCI-02,FCI,5,class_1,completed,visible output,false,0,10,1,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
Claude Opus 4.6,isomorphic variant,V-010,FCI-05,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-010,FCI-05,FCI,2,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-010,FCI-05,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-010,FCI-05,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-010,FCI-05,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-011,FCI-07,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-011,FCI-07,FCI,2,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-011,FCI-07,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-011,FCI-07,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-011,FCI-07,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-012,FCI-10,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-012,FCI-10,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-012,FCI-10,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-012,FCI-10,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-012,FCI-10,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-013,FCI-15,FCI,1,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-013,FCI-15,FCI,2,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-013,FCI-15,FCI,3,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-013,FCI-15,FCI,4,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-013,FCI-15,FCI,5,class_1,completed,visible output,true,1,10,1,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-014,FCI-19,FCI,1,class_1,completed,visible output,true,1,88,0.88,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-014,FCI-19,FCI,2,class_1,completed,visible output,true,1,85,0.85,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-014,FCI-19,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-014,FCI-19,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-014,FCI-19,FCI,5,class_1,completed,visible output,true,1,88,0.88,AC-2,RC-2,Rep-3,0,AD-3,CB-4,SRF-2,V,,,,,
Claude Opus 4.6,isomorphic variant,V-015,FCI-24,FCI,1,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-015,FCI-24,FCI,2,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-015,FCI-24,FCI,3,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-015,FCI-24,FCI,4,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-015,FCI-24,FCI,5,class_1,completed,visible output,true,1,9,0.9,AC-1,RC-1,Rep-1,0,AD-3,CB-4,SRF-1,,,,,,
Claude Opus 4.6,isomorphic variant,V-016,FCI-27,FCI,1,class_1,completed,visible output,false,0,9,0.9,AC-1,RC-1,Rep-4,0,AD-3,CB-4,SRF-3,,,,,,
