"Analysis Set","Model","Item ID","Item Label","Inventory","Incorrect Runs","Correct Runs","DNF Runs","Majority Outcome","Error Pattern","Answer-Level Overlap","Mechanism-Level Overlap","Evidence Basis","Evidence Qualification","Cited Sources"
"Primary analysis","Kimi K2.6","FCI-07","FCI Q7","FCI",3,2,0,"incorrect","representation-driven","yes","no","published distractor taxonomy and response-community analysis","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019; Wells et al. 2019"
"Primary analysis","Kimi K2.6","FCI-12","FCI Q12","FCI",4,1,0,"incorrect","representation-driven","yes","no","published distractor taxonomy and central-distractor analysis","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019; Scott and Schumayer 2018"
"Primary analysis","Kimi K2.6","FCI-20","FCI Q20","FCI",4,0,1,"incorrect","representation-driven","yes","no","published distractor taxonomy and central-distractor analysis","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019; Scott and Schumayer 2018"
"Primary analysis","Kimi K2.6","FCI-21","FCI Q21","FCI",5,0,0,"incorrect","representation-driven","yes","no","published distractor taxonomy","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019"
"Primary analysis","Kimi K2.6","TCE-21","TCE Q21","TCE",5,0,0,"incorrect","other / construct-boundary","yes","indeterminate","item-response frequency and validation/item analysis","Matched response is documented, but later item analysis reported poor discrimination; the mechanism comparison is indeterminate.","Yeo and Zadnik 2001; Stylos et al. 2021"
"Primary analysis","GPT-5.5","TCE-21","TCE Q21","TCE",4,1,0,"incorrect","other / construct-boundary","yes","indeterminate","item-response frequency and validation/item analysis","Matched response is documented, but later item analysis reported poor discrimination; the mechanism comparison is indeterminate.","Yeo and Zadnik 2001; Stylos et al. 2021"
"Primary analysis","Gemini 3.1 Pro Preview","FCI-20","FCI Q20","FCI",3,2,0,"incorrect","representation-driven","partial","no","published distractor taxonomy and central-distractor analysis","Only part of the mixed response pattern matched a documented distractor; the model errors were representation-driven.","Eaton et al. 2019; Scott and Schumayer 2018"
"Primary analysis","Gemini 3.1 Pro Preview","TCE-04","TCE Q4","TCE",5,0,0,"incorrect","other / construct-boundary","yes","partial","item-response frequency and validation literature","Matched response and conceptual element are documented, but the model reasoning added an assumption, so mechanism overlap is partial.","Yeo and Zadnik 2001; Stylos et al. 2021"
"Primary analysis","Gemini 3.1 Pro Preview","TCE-06","TCE Q6","TCE",5,0,0,"incorrect","other / construct-boundary","yes","partial","item-response frequency and validation literature","Matched response and conceptual element are documented, but the model reasoning added an additional process, so mechanism overlap is partial.","Yeo and Zadnik 2001; Stylos et al. 2021"
"Primary analysis","Claude Opus 4.6","BEMA-10","BEMA Q10","BEMA",5,0,0,"incorrect","representation-driven","yes","indeterminate","response-option frequency and network-threshold exclusion","Matched response was selected by 482/12,214 students (3.9%), below the 5% network threshold; no item-specific response community or published student mechanism was identified.","Wheatley et al. 2024, Supplemental Table II"
"Primary analysis","Claude Opus 4.6","FCI-19","FCI Q19","FCI",5,0,0,"incorrect","representation-driven","no","no","published distractor taxonomy and keyed-response check","The model selected the keyed response with invalid reasoning; no misconception-distractor correspondence was available.","Eaton et al. 2019"
"Primary analysis","Claude Opus 4.6","FCI-20","FCI Q20","FCI",5,0,0,"incorrect","representation-driven","yes","no","published distractor taxonomy and central-distractor analysis","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019; Scott and Schumayer 2018"
"Primary analysis","Claude Opus 4.6","FCI-21","FCI Q21","FCI",5,0,0,"incorrect","representation-driven","yes","no","published distractor taxonomy and response-community analysis","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019; Wells et al. 2019"
"Sensitivity analysis","Claude Opus 4.6","BEMA-04","BEMA Q4","BEMA",2,3,0,"correct","representation-driven","yes","no","response-option frequency and response-community analysis","Matched response was below the network threshold and formed no published response community; the model error was representation-driven.","Wheatley et al. 2024 and its supplement"
"Sensitivity analysis","Claude Opus 4.6","FCI-26","FCI Q26","FCI",2,3,0,"correct","other / construct-boundary","yes","indeterminate","documented student response and revised FCI distractor taxonomy","Student selection of the matched response was documented; Eaton et al. mapped the distractor to I3 rather than the model's velocity-dependent-resistance account, for which no item-specific student-reasoning evidence was available.","Eaton et al. 2019, Figure 17 and Table XI"
"Sensitivity analysis","Claude Opus 4.6","FCI-29","FCI Q29","FCI",1,4,0,"correct","other / construct-boundary","yes","partial","student-explanation study and distractor taxonomy","Student explanations include a related account, but the item admits multiple explanations and the model reasoning was mixed; mechanism overlap is partial.","Shoji et al. 2021; Eaton et al. 2019"
"Sensitivity analysis","Kimi K2.6","BEMA-28","BEMA Q28","BEMA",2,3,0,"correct","representation-driven","yes","no","response-option frequency and response-community analysis","Matched response belongs to a documented item-pair response community, but the model error was representation-driven.","Wheatley et al. 2024 and its supplement"
"Sensitivity analysis","Kimi K2.6","TCE-04","TCE Q4","TCE",1,4,0,"correct","other / construct-boundary","yes","partial","item-response frequency and validation literature","Matched response and conceptual element are documented, but the model reasoning added an assumption, so mechanism overlap is partial.","Yeo and Zadnik 2001; Stylos et al. 2021"
"Sensitivity analysis","GPT-5.5","FCI-21","FCI Q21","FCI",1,4,0,"correct","representation-driven","yes","no","published distractor taxonomy","Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism.","Eaton et al. 2019"
