comparison_tier,model,item_id,inventory,incorrect_run_count,correct_run_count,dnf_run_count,majority_outcome,error_pattern,answer_level_overlap,mechanism_level_overlap,cited_sources,evidence_basis,evidence_qualification
primary_majority_incorrect,Kimi K2.6,FCI-07,FCI,3,2,0,incorrect,representation-driven,yes,no,Eaton et al. 2019; Wells et al. 2019,published distractor taxonomy and response-community analysis,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
primary_majority_incorrect,Kimi K2.6,FCI-12,FCI,4,1,0,incorrect,representation-driven,yes,no,Eaton et al. 2019; Scott and Schumayer 2018,published distractor taxonomy and central-distractor analysis,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
primary_majority_incorrect,Kimi K2.6,FCI-20,FCI,4,0,1,incorrect,representation-driven,yes,no,Eaton et al. 2019; Scott and Schumayer 2018,published distractor taxonomy and central-distractor analysis,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
primary_majority_incorrect,Kimi K2.6,FCI-21,FCI,5,0,0,incorrect,representation-driven,yes,no,Eaton et al. 2019,published distractor taxonomy,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
primary_majority_incorrect,Kimi K2.6,TCE-21,TCE,5,0,0,incorrect,other / construct-boundary,yes,indeterminate,Yeo and Zadnik 2001; Stylos et al. 2021,item-response frequency and validation/item analysis,"Matched response is documented, but later item analysis reported poor discrimination; the mechanism comparison is indeterminate."
primary_majority_incorrect,GPT-5.5,TCE-21,TCE,4,1,0,incorrect,other / construct-boundary,yes,indeterminate,Yeo and Zadnik 2001; Stylos et al. 2021,item-response frequency and validation/item analysis,"Matched response is documented, but later item analysis reported poor discrimination; the mechanism comparison is indeterminate."
primary_majority_incorrect,Gemini 3.1 Pro Preview,FCI-20,FCI,3,2,0,incorrect,representation-driven,partial,no,Eaton et al. 2019; Scott and Schumayer 2018,published distractor taxonomy and central-distractor analysis,"Only part of the mixed response pattern matched a documented distractor; the model errors were representation-driven."
primary_majority_incorrect,Gemini 3.1 Pro Preview,TCE-04,TCE,5,0,0,incorrect,other / construct-boundary,yes,partial,Yeo and Zadnik 2001; Stylos et al. 2021,item-response frequency and validation literature,"Matched response and conceptual element are documented, but the model reasoning added an assumption, so mechanism overlap is partial."
primary_majority_incorrect,Gemini 3.1 Pro Preview,TCE-06,TCE,5,0,0,incorrect,other / construct-boundary,yes,partial,Yeo and Zadnik 2001; Stylos et al. 2021,item-response frequency and validation literature,"Matched response and conceptual element are documented, but the model reasoning added an additional process, so mechanism overlap is partial."
primary_majority_incorrect,Claude Opus 4.6,BEMA-10,BEMA,5,0,0,incorrect,representation-driven,yes,indeterminate,"Wheatley et al. 2024, Supplemental Table II",response-option frequency and network-threshold exclusion,"Matched response was selected by 482/12,214 students (3.9%), below the 5% network threshold; no item-specific response community or published student mechanism was identified."
primary_majority_incorrect,Claude Opus 4.6,FCI-19,FCI,5,0,0,incorrect,representation-driven,no,no,Eaton et al. 2019,published distractor taxonomy and keyed-response check,"The model selected the keyed response with invalid reasoning; no misconception-distractor correspondence was available."
primary_majority_incorrect,Claude Opus 4.6,FCI-20,FCI,5,0,0,incorrect,representation-driven,yes,no,Eaton et al. 2019; Scott and Schumayer 2018,published distractor taxonomy and central-distractor analysis,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
primary_majority_incorrect,Claude Opus 4.6,FCI-21,FCI,5,0,0,incorrect,representation-driven,yes,no,Eaton et al. 2019; Wells et al. 2019,published distractor taxonomy and response-community analysis,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
sensitivity_correct_majority,Claude Opus 4.6,BEMA-04,BEMA,2,3,0,correct,representation-driven,yes,no,Wheatley et al. 2024 and its supplement,response-option frequency and response-community analysis,"Matched response was below the network threshold and formed no published response community; the model error was representation-driven."
sensitivity_correct_majority,Claude Opus 4.6,FCI-26,FCI,2,3,0,correct,other / construct-boundary,yes,indeterminate,"Eaton et al. 2019, Figure 17 and Table XI",documented student response and revised FCI distractor taxonomy,"Student selection of the matched response was documented; Eaton et al. mapped the distractor to I3 rather than the model's velocity-dependent-resistance account, for which no item-specific student-reasoning evidence was available."
sensitivity_correct_majority,Claude Opus 4.6,FCI-29,FCI,1,4,0,correct,other / construct-boundary,yes,partial,Shoji et al. 2021; Eaton et al. 2019,student-explanation study and distractor taxonomy,"Student explanations include a related account, but the item admits multiple explanations and the model reasoning was mixed; mechanism overlap is partial."
sensitivity_correct_majority,Kimi K2.6,BEMA-28,BEMA,2,3,0,correct,representation-driven,yes,no,Wheatley et al. 2024 and its supplement,response-option frequency and response-community analysis,"Matched response belongs to a documented item-pair response community, but the model error was representation-driven."
sensitivity_correct_majority,Kimi K2.6,TCE-04,TCE,1,4,0,correct,other / construct-boundary,yes,partial,Yeo and Zadnik 2001; Stylos et al. 2021,item-response frequency and validation literature,"Matched response and conceptual element are documented, but the model reasoning added an assumption, so mechanism overlap is partial."
sensitivity_correct_majority,GPT-5.5,FCI-21,FCI,1,4,0,correct,representation-driven,yes,no,Eaton et al. 2019,published distractor taxonomy,"Matched response is documented, but the model error was representation-driven and did not instantiate the published misconception mechanism."
